name,source_strategy
000_people.model.ru_entity_malecoat,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
001_people.model.ru_entity_femalecoat,decoded_exact_1vb
002_people.model.ru_entity_maleshorts,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
003_people.model.ru_entity_femaleshorts,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
004_people.model.ru_entity_camera,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
005_people.model.ru_entity_clipboard,layer4_correct_index_descriptor
006_people.model.ru_entity_videocamera,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
007_trackside.model.ru_entity_tent1,decoded_drawtable_auto
008_trackside.model.ru_entity_tent2,decoded_drawtable_auto
009_trackside.model.ru_entity_grandstand,decoded_multibuffer_auto
010_all_trees.model.ru_entity_fir_tall_4,decoded_multibuffer_auto
011_all_trees.model.ru_entity_fir_tall_3,decoded_multibuffer_auto
012_all_trees.model.ru_entity_fir_tall_2,decoded_multibuffer_auto
013_all_trees.model.ru_entity_fir_tall_1,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
014_all_trees.model.ru_entity_small_tree_1,decoded_multibuffer_auto
015_all_trees.model.ru_entity_small_tree_2,decoded_multibuffer_auto
016_all_trees.model.ru_entity_medium_tree_1,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
017_all_trees.model.ru_entity_medium_tree_2,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
018_all_trees.model.ru_entity_small_bush,decoded_drawtable_auto
019_all_trees.model.ru_entity_bare_bush,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
020_all_trees.model.ru_entity_leafy_bush,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
021_all_trees.model.ru_entity_fir_small_1,decoded_multibuffer_auto
022_all_trees.model.ru_entity_fir_small_2,decoded_multibuffer_auto
023_all_trees.model.ru_entity_safari_tree,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
024_bridges.model.ru_entity_rustywooden_bridgestart,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
025_bridges.model.ru_entity_rustywooden_bridgeside,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
026_bridges.model.ru_entity_rustywooden_bridgeend,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
027_bridges.model.ru_entity_rustywoodenwide_bridgeend,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
028_bridges.model.ru_entity_rustywoodenwide_bridgeside,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
029_bridges.model.ru_entity_rustywoodenwide_bridgestart,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
030_bridges.model.ru_entity_rockpillar_bridgestart,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
031_bridges.model.ru_entity_rockpillar_bridgeside,decoded_multibuffer_auto
032_bridges.model.ru_entity_rockpillar_bridgeend,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
033_bridges.model.ru_entity_rockpillar_bridgesidesponsor,decoded_multibuffer_auto
034_bridges.model.ru_entity_cattlegrid,decoded_drawtable_auto
035_bridges.model.ru_model_pcube18ru_entity_cattlegrid.ru_body_upright1,layer4_correct_index_descriptor
036_bridges.model.ru_model_pcube18ru_entity_cattlegrid.ru_body_upright2,layer4_correct_index_descriptor
037_bridges.model.ru_model_pcube14ru_entity_cattlegrid.ru_body_plank2,layer4_correct_index_descriptor
038_bridges.model.ru_model_pcube14ru_entity_cattlegrid.ru_body_plank1,layer4_correct_index_descriptor
039_bridges.model.ru_model_pcube18ru_entity_cattlegrid.ru_body_upright1_11,layer4_correct_index_descriptor
040_bridges.model.ru_model_pcube18ru_entity_cattlegrid.ru_body_upright2_12,layer4_correct_index_descriptor
041_bridges.model.ru_model_pcube14ru_entity_cattlegrid.ru_body_plank2_13,layer4_correct_index_descriptor
042_bridges.model.ru_model_pcube14ru_entity_cattlegrid.ru_body_plank1_14,layer4_correct_index_descriptor
043_bridges.model.ru_model_mainru_entity_cattlegrid_gate.ru_body_gate,decoded_exact_1vb
044_bridges.model.ru_model_mainru_entity_cattlegrid_gatepost.ru_body_gate,decoded_drawtable_auto
045_bridges.model.ru_entity_cattlegrid_uk_wide,decoded_drawtable_auto
046_bridges.model.ru_model_pcube18ru_entity_cattlegrid_uk_wide.ru_body_upright1,layer4_correct_index_descriptor
047_bridges.model.ru_model_pcube18ru_entity_cattlegrid_uk_wide.ru_body_upright2,layer4_correct_index_descriptor
048_bridges.model.ru_model_pcube14ru_entity_cattlegrid_uk_wide.ru_body_plank2,layer4_correct_index_descriptor
049_bridges.model.ru_model_pcube14ru_entity_cattlegrid_uk_wide.ru_body_plank1,layer4_correct_index_descriptor
050_bridges.model.ru_model_pcube18ru_entity_cattlegrid_uk_wide.ru_body_upright1_7,layer4_correct_index_descriptor
051_bridges.model.ru_model_pcube18ru_entity_cattlegrid_uk_wide.ru_body_upright2_8,layer4_correct_index_descriptor
052_bridges.model.ru_model_pcube14ru_entity_cattlegrid_uk_wide.ru_body_plank2_9,layer4_correct_index_descriptor
053_bridges.model.ru_model_pcube14ru_entity_cattlegrid_uk_wide.ru_body_plank1_10,layer4_correct_index_descriptor
054_bridges.model.ru_entity_lowfence_bridgeend,decoded_exact_1vb
055_bridges.model.ru_entity_lowfence_bridgeside,layer4_correct_index_descriptor
056_bridges.model.ru_entity_lowfence_bridgestart,layer4_correct_index_descriptor
057_bridges.model.ru_entity_lowfence_bridgesidesponsor,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
058_bridges.model.ru_entity_traditionalwoodenwide_bridgeend,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
059_bridges.model.ru_entity_traditionalwoodenwide_bridgeside,layer3_single_vb_inference:only_vertex_buffer_fits_all_indices
060_bridges.model.ru_entity_traditionalwoodenwide_bridgestart,decoded_exact_1vb
061_windturbine.model.ru_model_windmillru_entity_farm_windmill,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
062_windturbine.model.ru_model_bladesru_entity_farm_windmill.ru_model_windmill,decoded_exact_1vb
063_windturbine.model.ru_model_gfxru_entity_windturbine,decoded_exact_1vb
064_windturbine.model.ru_model_bladesru_entity_windturbine.ru_model_gfx,decoded_exact_1vb
065_windturbine.model.ru_model_gfxru_entity_windturbine_double,decoded_exact_1vb
066_windturbine.model.ru_model_bladesru_entity_windturbine_double.ru_model_gfx,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
067_telegraphpole.model.ru_model_gfxru_entity_telegraphpole,layer3_single_vb_inference:index_max_equals_vertex_count_minus_1
